comment_id,text
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DiTG4yMZhH,Frs
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Dj8X3iB5Jn,I’m down
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DlJZw3nwyd,YESSS😭
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DnCaIZ7Ode,YES!!!
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DnQv471Hzf,"True instead of hey siri, hey marques 💕"
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Dnt6S7aHEm,or Joe Rogan 😂
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Do4uhtFU_Z,Aye!
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DoRnc6TqTL,no
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DoiH8Uoppu,Is there any app for call recording free
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DrVJ-tDmb0,Please Google are you listening.. MKBHD skills be an option for voice assistant
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DwCqNlar0w,Dislike
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DyVDfcVQh2,personally i dont like MrWhoseTheBoss but i guess he could be the uk assistand and mark can be u.s. assistant.
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79E2JIMcn5uX,His voice doesn’t deserve to be one for Kia.  Mr whose the boss and Jerry rig yes.
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79E6lSiVqtB5,Where do I sign?
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79E6wa999UrH, @thatrandomstarwarskid  just likew so more people  see
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79ENbmboBNFi,What does petition mean lolzs
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79EsQY1iYMIK,That would sound like an actual robot talking lol
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Ew5m4NnhbV,Here at 6.9k likes
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79F69vqCC1g1,"umm, yes."
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79F982WB_CjE,The boy can talk!!! Lol
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79FFeTOkJu-U,Yes
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79FUvVQC_JpM,Yes. His voice is so smooth and calm
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79FbA3pEyhij,JerryRig too
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79GLRdeR3Nhp,Tru
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79GfvHK85nZm,Petition for his voice to become a phone assistant
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Iq8_-pqD9-,Omg yes!! Such an amazing voice!!!
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79J-ksghazmy,"Lol ,I will sign for the petition"
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Mu-8lyNXpf,Avocado Fatigue
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79RGchpscpb5,No
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Rk_EADwuSY,He can replace siri
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Xqaqf5DCYx,I would prefer that
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79hYrlVzuV5A,Agreed
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79lVzNZ6cg5t,"You have my signature, I want to tell my sister to help me with the groceries only to hear mkbhd tell me she left do not disturb on lmao"
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIrWzxtUsE,I would appreciate a real hillbilly Siri  voice for my phone
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79LrRXJXhYgr, @LexIsFunny  the only thing that comes to mind is billy ray cyrus lmao
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIn7lKZwJF,Yeesss I agreee!!
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79E2-RRnvOLi, @thegerhard7605  what's offensive?
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AJ0dCsmnCJ,That's for mrwhosetheboss
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIzzYhAUUn,Oh no. Please.
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79BoDyLFu2Yw,nah
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIo9-Z3Hv7,Nah
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79CpVCdqKMSB,That’s dope
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIndg7x4zt,Not saying what u said is offensive but it is to some people
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DXbOLNdh5K, @z-anime_1988  how
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79E4mH8O-NZp,Z-ANIME _ why?
